,댓글,출처
45686,@joow4014 헐 ㅡㅡ만약에 니한테이카면찾아가서죽인다,./data\인사이트.csv
45687,벌금10만원도 과태료도 무개념 손님이 다 내야지 알바생이 무슨 죄냐?,./data\인사이트.csv
45688,근데 마스크 써달라고 하는 게 기분나쁠 일이야?? 😳 이해가 안 되네 정말,./data\인사이트.csv
45689,@____shh 집갈때 내가 마스크 안줬으면 너 저 아저씨될뻔 뭔가 때릴거같아,./data\인사이트.csv
45690,@seo_jin_98 아 진짜 너무 극혐이라 할 말이 없다,./data\인사이트.csv
45691,@le_j_hsly_ 이 ㅅㅂ,./data\인사이트.csv
45692,여기 성남 어느카페인지 아시는분,./data\인사이트.csv
45693,자격지심이 속으로 안끝나고 행동으로 보여주네,./data\인사이트.csv
45694,계속맞아라 맞다보면 답이나오겠쥐,./data\인사이트.csv
45695,어차피 마실때 먹을때 벗잖아요 하던데...ㅜㅜ,./data\인사이트.csv
45696,"@_da.yoon_ 조심해 다윤,,,,",./data\인사이트.csv
45697,되레 이해 불가... 에휴!,./data\인사이트.csv
45698,시장에서 마스크단속 하는데 마스크 착용 안하는 사람이 나한테 마스크 내놓으라고 하던데.. 약국에서 사서 착용하라니깐 막 화를 내면서 마스크도 안주면서 단속하냐고 따지던데.. 나한테 공권력만 있다면 벌금딱지 수십장 아니 수백장도 땟을껀데..,./data\인사이트.csv
45699,@zzyouning 주짓수를 해야하나..,./data\인사이트.csv
45700,그래서 사람아닌 저짐승은 어떤처벌은 받은거냐고...??? 과한벌금과 과한합의금과 꼭 구속되길 바람 ᆢ 장사하시는분들 마취총하나씩 꼭 반드시 구비해두셔야겠네요,./data\인사이트.csv
45701,@ye_eun902,./data\인사이트.csv
45702,@zi22su ...,./data\인사이트.csv
45703,@hht5119 동네무섭,./data\인사이트.csv
45704,@___nijus 조심해,./data\인사이트.csv
45705,@taammmi 헐 투썸인데,./data\인사이트.csv
45706,저 나이대 한남들 오냐 오냐 자라서 버릇 없음 늙은거나 어린거나 한남들은 참교육이 필요하다,./data\인사이트.csv
45707,@eudemonic__ 🤬🤬🤬🤬,./data\인사이트.csv
45708,열등감에 찌들었네ㅋㅋ 마스크로 인한 폭행은 반죽여도 자기방어 인정해 줍시다,./data\인사이트.csv
45709,또 한국남자냐?,./data\인사이트.csv
45710,@moonlightviaaa 어휴 ㅋㅋㅋㅋㅋㅋㅋ왜사냐,./data\인사이트.csv
45711,세상이 점점 미쳐가는구나 아니 원래 미치긴했지,./data\인사이트.csv
45712,얼굴 공개 바랍니다 그래야 얼굴도 못들고 다니고 벌금도 팍팍 내도록 ㅋㅋ 난 축농증이라 추우면 콧물 나서 마스크도 눈치보고 내려서 닦는데 저거는 죄인이야 벌금 안되면 전자발찌 어때요? ㅋㅋㅋㅋ,./data\인사이트.csv
45713,미친색,./data\인사이트.csv
45714,커피마실때도 마스크는 필수,./data\인사이트.csv
45715,@like_x_4 와 세상 이런또라이가잇네여,./data\인사이트.csv
45716,너는 뭔데 사람때리고 다니냐,./data\인사이트.csv
45717,입주댕이가 찢어지면 마스크 잘쓰구 다니려나?,./data\인사이트.csv
45718,개썅노무...,./data\인사이트.csv
45719,똘빡들이많습니다😢,./data\인사이트.csv
45720,@ho9_95et 에휴 답없다 🙄,./data\인사이트.csv
45721,폭력한남성은 후회하게됨 천국지옥법이라는게 있어 피해주는만큼 나중에 되돌려받는다는게 더욱더 화날걸? 유감이다,./data\인사이트.csv
45722,마스크좀 쓰지 인성덜된 인간이 있네,./data\인사이트.csv
45723,진짜노답들이넹,./data\인사이트.csv
45724,국회의원들의 의도 대로 되어가고있다 국민끼리 이간질 ! 그리고 안쓴 사람에게 벌금을 더 때리는게 상식인데 역시 국개멍멍이 의원들이다,./data\인사이트.csv
45725,댓글만 보면 아주 정의의 사도들만 모였음ㅋㅋ 현실은 사람들 식당이고 뭐고 들어 오자마자 마스크 벗고 자리에 앉는데 인스타만 들어오면 착한척 하고 싶어서 안달난 깨시민 코스프레 대깨문들ㅋㅋㅋ,./data\인사이트.csv
45726,@kall4247 ㅜㅜ 조심해야게따,./data\인사이트.csv
45727,오함마 대기하고 있다가 찍어버려요,./data\인사이트.csv
45728,평생 골방에 쳐넣고 기어나오지 못하게 만들어야한다,./data\인사이트.csv
45729,@u_haneul_ 이거 모란 투썸이래...,./data\인사이트.csv
45730,"그니까 싸가지없게 말을 하지 말고
마스크 써주시겠어요~?^^
쳐 웃으면서 ..
그니까 쳐 맞지",./data\인사이트.csv
45731,@jun_seoki @ddo_young0604 @10v2z8ne @luminous.on @_0jooeun 조심합시다...,./data\인사이트.csv
45732,알바생이 우락부락 덩치 큰 남자였으면 찍소리도 못하고 쳐 썼을거면서 남자던 여자던 어리고 여려보이니까 찌질하게 쎈척이야. 마스크 쓰기 싫으면 집에 딱 쳐박혀서 커피고 뭐고 내려 쳐먹던지 시켜먹던지 하지.,./data\인사이트.csv
45733,마스크미착용자는절대로들이면안돼!국힘당놈을해산하라!,./data\인사이트.csv
45734,@dllrkdms 진짜 지랄병 걸린사람 여깄네 ㅅㅂ,./data\인사이트.csv
45735,상또라이네..,./data\인사이트.csv
45736,카페 직원분들 드러누웁시다 이제 저 인간 뼛속까지 뜯어내던지 깜빵보내야됩니다!🔥🔥,./data\인사이트.csv
45737,할말이 없네요. 기가막혀라. 카페직원분들이 무슨 잘못을 했다고... 남의 집 귀한자식한테 어딜 손을 올리시는서죠? 사람때리지말고 아저씨 입부터 가리고 다니세요. 출입인증 귀찮아서 하기싫고 마스크쓰는거 협조 안할꺼면 나오지말고 집에 계세요.... @hyeoun_lee,./data\인사이트.csv
45738,@ej._97 이게현실이다.....진짜 집에만 계시길,./data\인사이트.csv
45739,저런것들은 혼줄내야되는데 무조건감방살리든지 벌금폭탄으로~🤬,./data\인사이트.csv
45740,ㅆㅂ,./data\인사이트.csv
45741,ㅉㅉㅉㅉ,./data\인사이트.csv
45742,@seung_129214 너의 경험담이랑 비슷헌디?,./data\인사이트.csv
45743,아니 맨날 이런 저런 뉴스가 있다하지말고 결과를 좀 같이올리라고 어떻게 처분했는지 하여튼 우리나라 법은 누구를 위한 법인지,./data\인사이트.csv
45744,시상에 저런 똥무식이봐라.큰일이다..,./data\인사이트.csv
45745,@hyeony227 나는 마음편하게 신고할래..^^,./data\인사이트.csv
45746,"@yn29_10 @gorgyoung 우리도 조심해야해,...",./data\인사이트.csv
45747,@meezubelle @sun_ohhh 투..썸...?,./data\인사이트.csv
45748,@worldbig_h 투썸,./data\인사이트.csv
45749,아진짜짜증ㅜ 😤😤😤😤왜케무개념들이많을까진짜ㅜ😤😤,./data\인사이트.csv
45750,저 직원 알바트라우마 생기겠다.....😢😢😢,./data\인사이트.csv
45751,@mirye_h 여기 구조 낯익은.......,./data\인사이트.csv
45752,@kyeoung2 @young__jeon 개빡취네ㅜ 진짜🤬,./data\인사이트.csv
45753,일베,./data\인사이트.csv
45754,@h_juni__ @xx.ty__,./data\인사이트.csv
45755,몰~상식 함의 끝판왕이네,./data\인사이트.csv
45756,아오 진상..,./data\인사이트.csv
45757,@0_zoo._ ㅆㅂ 무서워서 어ㅖ케말해,./data\인사이트.csv
45758,@jongmun8508 젊은사람보다 왜 나이든 사람들이 더 이럴까..? 어디가서 꼰대짓하며 지들이 어른이라고 할텐데.. 곱게 늙자,./data\인사이트.csv
45759,@klavian_ 어디서 맞고댕기지 마라,./data\인사이트.csv
45760,미친...욕을한것두아니구 정중히 부탁했을텐데 왜들 때리고지랄?🤬,./data\인사이트.csv
45761,정부가 멍청해 벌금 10만원 너무 싼티나고 100만원으로 올려라 비싼티 좀 나게,./data\인사이트.csv
45762,똥자존심웃기고 유치. 별볼일없는것들. 부끄럽지도않아하는게 누구닮음,./data\인사이트.csv
45763,역시 그 성별 ㅉㅉ,./data\인사이트.csv
45764,무시하는것 같다고 난폭해지는건 납득이 안돼네..도대체 왜 때리는거지? 업장의 입장이 있고 일하는 알바생의 의무가 있는것을 이해못하면 나돌아 다니지 마라...,./data\인사이트.csv
45765,@heejung_k_i_m_ 이런 자슥들은 울가게는 꼭안와~,./data\인사이트.csv
45766,진짜 자격지심 오지네 뭐 어디가 무시를 느낀 포인튼지.세상 나이 헛 쳐먹은 인간들 너무 많다,./data\인사이트.csv
45767,이건 개인 보다 나라에서 법을 무섭게 해야하지,./data\인사이트.csv
45768,기본도 지키고 살기 싫으면 집구석에서 나오지마라 남한테 피해주지말고 이런것들은 안죽을많큼 방어차원에서 때려도 무죄인정해야된다 쳐맞아야정신차리지,./data\인사이트.csv
45769,알바생분들 진짜 불쌍하시다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,./data\인사이트.csv
45770,"말 안들을꺼면 들어오지말던가
저런 잡것들은 몽둥이가 약이지",./data\인사이트.csv
45771,미친.. 마스크쓰라고한게 무시당하는거냐!!!,./data\인사이트.csv
45772,@acenell96,./data\인사이트.csv
45773,@w.e.s.t_z.e.r.o 덜덜 개빡,./data\인사이트.csv
45774,@90.chang2 주먹이운다울어,./data\인사이트.csv
45775,이러니까 이런법이 생기지...,./data\인사이트.csv
45776,@dongjoo_oh,./data\인사이트.csv
45777,마스크 안쓴사람은 출입금지 시키고 막무가내 손님들한테는 귀싸대기 서비스를 해줘야 하나...,./data\인사이트.csv
45778,"해외:처 맞고만있냐 ㅉㅉ
한국:응 상방폭행 (손님 벌금10만원 점주 벌금 300만원 세금쫩쫩)",./data\인사이트.csv
45779,"개인이 안 쓴건데 시설 관리자 벌금 왜 저래 ,,,",./data\인사이트.csv
45780,투썸인가보네,./data\인사이트.csv
45781,@yxxuls 이시국에 마스크 써달라했다고 폭력하는 인성.. 저정도면 정병아니냐 ㅎ,./data\인사이트.csv
45782,제발좀🤬,./data\인사이트.csv
45783,왜 과태료가 저렇지 ..? 저러면 가게 주인한테 앙심 품고 마스크 안끼고 신고하면 10만원에 빅엿을 주인에게 줄 수 있는건데 . 법이 왜이렇지..,./data\인사이트.csv
45784,@stop.___.one ㅅㅂ 무서워서 일하겠노,./data\인사이트.csv
45785,@milestone_you ㅠㅠ,./data\인사이트.csv
45786,@pqp_pjj 무서어,./data\인사이트.csv
45787,마스크 안쓴 당사자가 300만원이어야되는거 아님...?,./data\인사이트.csv
45788,저런 사람들은 뇌에 뭐 들어갔을까?,./data\인사이트.csv
45789,코는 안가리고 입만 가리는 사람들 은근많다..코안가리면 마스크 안쓴거나 다름없다!!! 10마넌 부과를 무슨수로 할거냐고 대체.,./data\인사이트.csv
45790,@1020_hy 참,./data\인사이트.csv
45791,저런사람들 망신당해야하는데 얼굴 왜가려...,./data\인사이트.csv
45792,K-yungki domin,./data\인사이트.csv
45793,"@euuu_jj 무서워서 말하겠나,,,🤭🤭😢😢",./data\인사이트.csv
45794,"@0218_ss 윤지,,,,",./data\인사이트.csv
45795,"@hyizz_in0629 난 무섭다 친구,,,",./data\인사이트.csv
45796,요즘은 2살 어린애도 공공 장소에서는 마스크 벗어면 안된다는 것을 아는데~~,./data\인사이트.csv
45797,@hongmaenim,./data\인사이트.csv
45798,@n0w_ran 조심해 진짜 언니가 말했던거 생각남,./data\인사이트.csv
45799,못배움에는 답이 없습니다.,./data\인사이트.csv
45800,@jinsol_na 참..우리도 눈으로봤잖어 ..,./data\인사이트.csv
45801,@j_07_cr .......;?,./data\인사이트.csv
45802,@y.hwangi 와...마스크쓰랫다고 4명ㅇ나..폭행,./data\인사이트.csv
45803,@yoonihyungu 이러니 코로나가 안끝나지,./data\인사이트.csv
45804,@_bb_ddt 헉..,./data\인사이트.csv
45805,깜빵에 쳐넣어야지...민폐유발자는...👎,./data\인사이트.csv
45806,@j._.hann ??,./data\인사이트.csv
45807,"형사, 민사 고소 가자 합의금 1,000만원 요구하고 입원가자, 머리에도 충격이 있을 것 같은데, 외상후 스트레스 추가 하자, 그리고 한마디 해주자”우리 때릴 때 뭐가 된 것 같았지!? 이제 내가 너에게 벌을 줄께” ㅋㅋㅋ 그러면 제정신으로 돌아오겠지",./data\인사이트.csv
45808,강력한처벌을해야한다,./data\인사이트.csv
45809,교묘한 악질이져,./data\인사이트.csv
45810,@im_minizzing @ddddaiiiin @_________________________image 할말하않. . .,./data\인사이트.csv
45811,왜맞고있지? 아오진짜...,./data\인사이트.csv
45812,@luen.ah 나는 뭔가 맞을삘 마니 느낌 아니 써달라는 말만 하는건데 때릴기세야..,./data\인사이트.csv
45813,삼 백 울려야지 ~ 쓰라면 써라좀. 집구석에 있든가,./data\인사이트.csv
45814,@why_j_no.1 도랏~~~~~~,./data\인사이트.csv
45815,@seo__hot 급 빡치네,./data\인사이트.csv
45816,@gun_hee 진째로 마스크 써달라고 하면 꼭 40~50대 아저씨들은 아니꼽다는 뜻이 째려봐... 답답,./data\인사이트.csv
45817,알바 직원들이 무슨죄인데?당연하게 써야하는 이시국에 왜 죄없는 사람을 잡고난리야,./data\인사이트.csv
45818,@hsi_yuan_99 유어 퓨쳐,./data\인사이트.csv
45819,이런건 구속👍,./data\인사이트.csv
45820,@grizzch,./data\인사이트.csv
45821,@yellow_door_doeun 갑자기 오늘 담배 ....... 🤦🏻‍♀️,./data\인사이트.csv
45822,당장 법을 쌔게 바꾸면 저런게 사라질겁니다,./data\인사이트.csv
45823,"@w_dy.0 무서어,,",./data\인사이트.csv
45824,아우 징글징글 맞어,./data\인사이트.csv
45825,@junho._.b 나 이제 폭행 당하는거 아니가,./data\인사이트.csv
45826,@2_jack_0 너도 조심해야겠다,./data\인사이트.csv
45827,@min_ddong__ 진짜 또라이 아니야? 하,./data\인사이트.csv
45828,@en_ooa 저 사람은 머리에 우동사리가 들어있는게 분명해,./data\인사이트.csv
45829,@greeny_b_y 무서워..,./data\인사이트.csv
45830,@son.seonmin 무섭다,./data\인사이트.csv
45831,@o__oyong 이고봐ㅠㅠ이래서 아까 그 아줌마같은사람들 싫어ㅠㅠㅠ알바불쌍ㅠㅠ,./data\인사이트.csv
45832,@k__pyeong.an 바로 징역행 가야하는거 아니가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,./data\인사이트.csv
45833,예휴 이럴수록 마스크착용 해야되는거아닌가? 코로나가 빨리종식되면 서로좋은거아님? 그렇게 되려면 하지마라는것좀 하지말고 마스크 착용잘하자ㅡㅡ,./data\인사이트.csv
45834,@hhjuuuu_ 조심하자 아 ㅠㅠ근데 진상이존나많아서,./data\인사이트.csv
45835,아니 세상에 이런 쓰레기들이 있어?,./data\인사이트.csv
45836,10만원은 넘 약함 100만원으로 올려라!,./data\인사이트.csv
45837,@_s.n.0 개빡친다,./data\인사이트.csv
45838,@psc_____minji 어휴,./data\인사이트.csv
45839,@1_doooooo 조심,./data\인사이트.csv
45840,@c_d_s2_ 화가난다.,./data\인사이트.csv
45841,아니 미친거야진짜?..폭행이 왠말이야.. 마스크 당연한건데...,./data\인사이트.csv
45842,캐나다 스타벅스에서 일하는데 자기 천식 있다 등등 호흡기 문제있어서 마스크 안쓸고얌 히히 빌런 진짜 다 지건 마렵다 ㄹㅇ 마스크 안쓰면 무슨 이유는 매장 못들어 온다니까 웃으면서 당당하게 난 마스크 못쓰니까 난 다른 사람들과 그들의 가족과 직장동료까지 피해줄수 있어 ㅎㅎ 하는 마인드가 진짜 역겹고 토나온다...... 매일 있는 사람들,./data\인사이트.csv
45843,@ekdns_08 ㅠㅠㅠㅠ,./data\인사이트.csv
45844,꼰대샥히들,./data\인사이트.csv
45845,@_mye012 조심해..,./data\인사이트.csv
45846,@jh_kxx._ @joo_bob_1212 @genius._.yu @yoooon._k @tat00_0 이거 투썸임 ㅜ,./data\인사이트.csv
45847,@wang_seong 아이고 찌질해라,./data\인사이트.csv
45848,대체 왜 영상 모자이크 처리 하는거임 아주다공개해서 대한민국 개망신시켜버려야하는대 마스크 쓰기.싫으면 집에 쳐박혀있어라,./data\인사이트.csv
45849,@m_duu22,./data\인사이트.csv
45850,과태료가 아니라 몽둥이가 약이다.,./data\인사이트.csv
45851,마스크 안쓸라면 사쳐먹지 마라 주둥이 잘라버리기전에,./data\인사이트.csv
45852,저ㅅㅋ 신상공개해야함,./data\인사이트.csv
45853,@ghehf29,./data\인사이트.csv
45854,저런새끼는삼청교육대보내서참교육시켜야하는데,./data\인사이트.csv
45855,@bean_8in @s.seo___ @s._.seulk @choipapillon 죽여버리고싶다ㅋ,./data\인사이트.csv
45856,@namnahyun,./data\인사이트.csv
45857,ㄱㅆㅅㄲ,./data\인사이트.csv
45858,@hs_og.og,./data\인사이트.csv
45859,@_ss__by 이럴까봐 내가 마스크착용 멘트 못하겠음....,./data\인사이트.csv
45860,@gu_miyeong 무서워 ㅠㅠ,./data\인사이트.csv
45861,지금이맘때당연한요구인데왜알바생들을때리나... 손버릇고약하네..쯧,./data\인사이트.csv
45862,@geureondaemaleepneeda 세상엔 참.... 별사람이 다있다.......,./data\인사이트.csv
45863,저런 범죄자는 고소하고 나중에 무릎꿇고 빌어도 절대 절대로 합의해주지 마세요...,./data\인사이트.csv
45864,"카페 알바, 직원 함부로 대하지마 멍청아!!!!!!!!!!🔥😡🤬",./data\인사이트.csv
45865,알바보고 합의 하라고 본사 놈들 지랄 떨지 마라!!!,./data\인사이트.csv
45866,@sh__kwon_ 어휴,./data\인사이트.csv
45867,@jung__e0.0 진짜 저런것들은 매가 답이다;;;,./data\인사이트.csv
45868,걍 법이 이상함 ㅋㅋ 사업자들이 뭔죄라고 벌금을 무냐,./data\인사이트.csv
45869,당사자에게 300을 먹여야지 ..생각좀 합시다 쫌,./data\인사이트.csv
45870,"근데 마스크쓰고 커피
어덨게 마셔요?",./data\인사이트.csv
45871,@kimhy0min,./data\인사이트.csv
45872,"시설은 뭔죄냐고요... 마스크착용하라고 하는직원을 폭행하면 겁나서 하겠어요.. 마스크미착용자는 범칙금 10만원에서 최소 100만원으로 상향하시고 시설도 10만원으로 조정하는게 맞아요.. 메스컴에서는 미착용자가 나오는 화면만 나오잖나요..,",./data\인사이트.csv
45873,"인터넷 방송 야킹은 시청자에게 성인영상을 제공하는 가상현실 성인사이트 성인채널입니다
비제이는 성적인 장면과 몸매를 부각시킵니다
인터넷 방송 야킹은 시청자에게 성인영상을 제공하는 가상현실 성인사이트 성인채널입니다
비제이는 성적인 장면과 몸매를 부각시킵니다
인터넷 방송 야킹은 시청자에게 성인영상을 제공하는 가상현실 성인사이트 성인채널입니다
비제이는 성작인 장면과 몸매를 부각시킵니다",./data\인사이트.csv
45874,@heyeon_26,./data\인사이트.csv
45875,@yoo.chan.hee 오늘도 일하루간댜..,./data\인사이트.csv
45876,@hyhy7657 내 미랟ㄹ까봐 무럽네,./data\인사이트.csv
45877,ㅂ ㅅ정부인증ㅋㅋㅋ반대로 해야지 인간들아ㅋㅋ,./data\인사이트.csv
45878,#구속 #벌금1000 🤦🏻‍♂️,./data\인사이트.csv
45879,@t__ephemeral_l 여기 투썸이다 손님이 말씀해주셨눈데 사실이였어,./data\인사이트.csv
45880,내가 부모면 절대합의안해준다. 진짜 왜저래 ㅡ.ㅡ 나이를 어디로 쳐먹은거야...,./data\인사이트.csv
45881,"@as_poo.rn 난 저 동네가 참 무습다,,,,^^^^",./data\인사이트.csv
45882,마스크 안하려면 기어 나오지를 마라..,./data\인사이트.csv
45883,"그래 ㅅㅂ 이런다니까 존나 쓰라고하면 저렇게될까뵈 못말하겠는데 지가 어디서걸려서 식당,카페에서 쓰라는말없었다고 지랄하면서 거기서 안내안한죄로 벌금내고 뭐여이게",./data\인사이트.csv
45884,@_imagape_ 미친 안 쪽팔리나,./data\인사이트.csv
45885,@haaaaaansol,./data\인사이트.csv
45886,"@ttoaeng 쟈기야 이거 아무리봐도 투썸,,같아 맞지말고 때려야해..",./data\인사이트.csv
45887,@gvo.winter 진짜 마스크 써달라하면 10명중에 9명 삐짐,./data\인사이트.csv
45888,@poetkang 요런놈들 있드나,./data\인사이트.csv
45889,매장내에 마스크쓰라고 크게 방송해주세요. 주차차량 찾을 때 처럼. 마스크 쓰라니까 그때만 쓰고 다시 벗더라구요.,./data\인사이트.csv
45890,ㅡㅡ 아니 코로나 작성도 안하는 인간들 머하는 인간인가 ㅋ,./data\인사이트.csv
45891,@ss.dong.hun,./data\인사이트.csv
45892,@seon__w2 조심해라..?.,./data\인사이트.csv
45893,🤨🤨,./data\인사이트.csv
45894,@hyun_k0430 덜덜 ..,./data\인사이트.csv
45895,@dbwjd__.s 맞을뻔햇노,./data\인사이트.csv
45896,@yuuuurimmmm 야;여기투썸아님?? 무서워서 말하겠나,./data\인사이트.csv
45897,과태료가 넘 적다 더 세게 때리고 강경하게 나가야 저런 몰상식이 없지,./data\인사이트.csv
45898,가해자는 꼭 코로나 걸려서 확산없이 완치되고 평생 호흡기 끼고 불구로 살길 기도합니다🙏,./data\인사이트.csv
45899,@m__m.seok 진짜 아옼ㅋㅋㅋㅋㅋㅋ말을 아낀다 ^^^^^,./data\인사이트.csv
45900,@22.9k_,./data\인사이트.csv
45901,@hanas_space 하 ...,./data\인사이트.csv
45902,@haribo_dodug 무서워서 말하긋나;;,./data\인사이트.csv
45903,@kyeongjae_ ㅠㅠ,./data\인사이트.csv
45904,이런 사람이 많아야 한다.,./data\인사이트.csv
45905,@seoasis_ 어이없다 시발 나도 맞진 않았지만 써달라 했을때 니가먼데 소린 들었음 ;;,./data\인사이트.csv
45906,제대로 확 처벌해라 ㅡㅡ 지가 뭘잘못했는지도 모르네 ㅡㅡ,./data\인사이트.csv
45907,제대로 안쓸거면 집밖에서 나오질 말아요,./data\인사이트.csv
45908,미친놈 얼굴까라😤😤😤😤😤,./data\인사이트.csv
45909,미친놈 아냐 가정교육 독학했나,./data\인사이트.csv
45910,@jj_yy_ss 와 진짜뇌없다,./data\인사이트.csv
45911,정신적 치료보상 요구와 폭행죄 고소 + 마스크 미착용으로 인한 벌금 + 영업방해 다 포함되겠는데. 절대 합의 하지 마세요,./data\인사이트.csv
45912,@do.___.ee,./data\인사이트.csv
45913,마스크진상들 때문에 알바생들 힘들듯요. 반말 찍찍 날리고 안하무인에 ㅉㅉ 인력보충해주는것도 아닌데 알바들이 단속까지 해야되나. 이런상황고려해서 벌금 때리세요,./data\인사이트.csv
45914,@pp_eheh 무서워서 말도 못하겠네 쌩,./data\인사이트.csv
45915,@pys9485 헐랭 투썸인디 ?,./data\인사이트.csv
45916,@real._.rexx 할말하않,./data\인사이트.csv
45917,외국은 500이상인데... 참 속상하네,./data\인사이트.csv
45918,마스크안쓰는사람 참 답이없더라고요..,./data\인사이트.csv
45919,@yul__ii.lee @larva_yun 나 이제 뉴스 나오겟어 마스크써달라고 햇다가😭,./data\인사이트.csv
45920,평소에 무시하는 사람들한테는 어쩌지 못하나보네 죄 없는 알바생한테 분풀이 하는 ㅆㄹㄱ,./data\인사이트.csv
45921,무시 할만 하네,./data\인사이트.csv
45922,"제발 식당, 카페에서 저러지 마세요. 아니 마스크 안쓰고 집밖을 나올 생각을 하지 마세요.
마스크 쓰라고 말하면 주머니속 지갑에 넣어둔걸 깜박했다고 느긋하고 당당하게 말하면 누가 깜박한걸로 알겠어요.",./data\인사이트.csv
45923,"@ju_j.u_ @ming_ol_m ,,,,,,,,,맞는말하면 맞는거냐?",./data\인사이트.csv
45924,@_dohii_ 스엉남,./data\인사이트.csv
45925,@wona_411 이러면 나 바로 경찰부른다 진짜 너도 불러라,./data\인사이트.csv
45926,@ejrrbs951753 투썸?,./data\인사이트.csv
45927,@k_96.04 조심 ㅜ,./data\인사이트.csv
45928,@chuuuu_young 무서워서 알바하겠냐,./data\인사이트.csv
45929,"폭행? 제발 형한테 걸려라, '제발 살고싶다' 생각들게 해줄께.",./data\인사이트.csv
45930,@so_zyomi @tae__rim 마스크 쓰라고 말할때 사장님꺼 장미칼들고 말해야 할듯ㅠ,./data\인사이트.csv
45931,사람들이 마스크를 쓰고 다니니까 스트레스 받나바~~~ 예민하고~~~~,./data\인사이트.csv
45932,고집 부리지맙시다,./data\인사이트.csv
45933,또라이냐,./data\인사이트.csv
45934,@anpan.o0o,./data\인사이트.csv
45935,@_lucia_0303 ㅁㅊ넘들.,./data\인사이트.csv
45936,내눈에 띄면 저 아재들 조용히 어디다 묻..,./data\인사이트.csv
45937,마스크 착용 권고에도 마스크 안쓰고 저렇게까지 난동부리는 것들은 그냥 사형 시키죠. 인간이 너무 많은데 저런것들까지 살아있을 필요가..,./data\인사이트.csv
45938,하.....,./data\인사이트.csv
45939,정신나간× 길거리에 다니면서 담배피우는 그것도 나이살× 마스크좀 쓰자요,./data\인사이트.csv
45940,@rok583 헐,./data\인사이트.csv
45941,모자이크 처리 하지 맙시다.,./data\인사이트.csv
45942,@jes110406 @eunsil_170604 중원구카페래ㅡㅡㅋㅋ,./data\인사이트.csv
45943,남이 씌워주는 마스크쓰고 응급행 열차 타보셔야 정신차릴! 😢@ailleen_soojin_ina,./data\인사이트.csv
45944,이정도 일 생기면 그런 법을 만든 정부가 좀 처벌을 강화시켜라 때려서 맞은건 남일인가 처벌좀 쌔게해라 윗대가리들아 뱃대기 돈 채울 생각좀 하지말고,./data\인사이트.csv
45945,@__axxm.k 헐;,./data\인사이트.csv
45946,저런건 그냥 총살하자 인간이길 포기했는데 뭘 살려두나..,./data\인사이트.csv
45947,법 왜저래 안쓴놈한테 300받아야지ㅡ ㅡ에효,./data\인사이트.csv
45948,@hyeve1y_ @jiyunlly 공주도 말하다가 쳐맞는거 아니냐 *•.¸♡𝕊𝕀𝔹𝔸𝕃♡¸.•* 무서워 카운터 옆에 망치 둘게,./data\인사이트.csv
45949,@ssssssssssy__279 와...,./data\인사이트.csv
45950,10만원만 내면 되니 그런짓을 더 했겠지요..300만원이 아닌 더한 처벌을 줘야한다고 생각함.,./data\인사이트.csv
45951,나 카페 알바생인데 이제 눈치보면서 말해야겠네 맞을까봐....😢,./data\인사이트.csv
45952,피해망상이라도 있나 서로를 위하자는 행동에 무슨억업이라도 받는냥 병신질을. .,./data\인사이트.csv
45953,태형이 필요함. 똑같이 당해봐야지.,./data\인사이트.csv
45954,이 정책은잘못돼었다 마스크미착용자도같은금액의벌금을물려야 맞는거지 ㅉ,./data\인사이트.csv
45955,오늘 카페 갔는데 개념 똥칠한 아줌마들 방명록도 안싸고 마스코 벗고 깔깔 대면서 떠들더라.. 줘패고 싶었는데 사장은 아무말 안하더라 ㅡㅡ,./data\인사이트.csv
45956,@lanihaneul 이건가ㅠㅠ???,./data\인사이트.csv
45957,으그,./data\인사이트.csv
45958,이거 몇달전꺼 아님?,./data\인사이트.csv
45959,@so00euny 옴마구쉬 와치아웃,./data\인사이트.csv
45960,뭘 무시해. 법으로 해놓은거 몰라? 마스크 안쓰면 벌금 무는거 안내문자 안봤나. 진심 진상이다. 요즘 시기에 카페 알바하다가 저리될까봐 무섭네ㅡㅡ,./data\인사이트.csv
45961,@y0ung______,./data\인사이트.csv
45962,@_mmj_03 볼링장 생각나는군 ..ㅋㅋㅋㅋ 진짜@개념없는몰상식한산소낭비쟁이들 많아 아주,./data\인사이트.csv
45963,콩밥많이먹구 코로나걸려라,./data\인사이트.csv
45964,일단 폭행죄는 못피하겠네,./data\인사이트.csv
45965,진짜 뇌가 왜있는 걸까 안쓰럽다,./data\인사이트.csv
45966,하~~~하,./data\인사이트.csv
45967,영업장이 아닌 개개인에 3백만원 부과를 하세요,./data\인사이트.csv
45968,요즘다들 성격장애가 있나봄.백화점출입구에서 한번나갔다 들어오더라도 다시 발열체크다시하고 들어가시라하니 기분나쁘다며 휙나가는 천.지.임,./data\인사이트.csv
45969,아 진짜 저놈의 자격지심,./data\인사이트.csv
45970,@hyun__jis2 진짜 이런일 흔해ㅠ😭,./data\인사이트.csv
45971,벌금 1억씩 때려야....,./data\인사이트.csv
