,댓글
215,Mmm 왜 저는 한국어를 아직 잘 못합니다!? 😭😭
216,💪🏻💪🏻
217,힘내세요 저역시 응원합니다.
218,앞으로는 이런 일이 다시는 없기를 바랍니다
219,정말로 아니길 바랍니다..
220,모든 광고에 과장안된게 어딧나요ㅎ 내가 좋다고 모든사람에게 다 좋은제품도 아닐것이고..상민님 너무신경쓰지마세요💕
221,What happened? ❤️
222,잘 해결되길 바랄께요
223,마음이 아프네요...ㅠㅠ힘내세요~~...
224,상민이형 이근대위처럼~~강하게 상남자로 이겨내세요 한서초 화이팅
225,팬입니다..속상하네요..부디 잘 해결되기를 기원합니다..잘 드시고 힘내셔야 해요..
226,안녕히 주무셔요. 꾸벅 (_ _)
227,What happen?
228,what happened? someone pls translate :!(((
229,살까말까 속지말자 유튜브채널이라니..
230,상민오빠 힘내세요💗 건강 잘 챙기시고 응원합니다. 이상민 믿어요. 世事未能尽如人意，但求无愧于心
231,너무 힘드시겠네요.. 머나먼 나라에서 늘 웃음을주셔서 오히려 더 감사하네요. 항상 응원하고 기대할께요. The one and only OG korean producer/rapper
232,상민형님이다~❤️
233,힘내세요 🙌🙌🙌👍👍👍👍
234,힘내세요!!
235,Alguien de México??
236,@boram2g0
237,Pa que me diga que dice🤣🤣
238,아하...실시간 라방이 아니라 실시간 대화요ㅜ인스타 라방 해주세요!!
239,hyung wish u a sweet night
240,Always support you @sangmind32
241,Sangmin 오빠 최고👍🏻❤️ LOVE YOU
242,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️LEE SANG MIN❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️💗💖💗💖💖💗💖💗💖💗💖💗💖💗💖💗💖
243,"@sangmind32 ""The horizon is black, the storm threatens; let's work. This is the only remedy for the evil of the century"". I'm supporting you as a friend, you're not alone."
244,"obba fighting! just do what you should do, and ignore those ridiculous comments. no one has rights to force somebody to take reponsibilities that don't belong to him. Love you and wait for more your sharing!"
245,Me pretending to know what’s happening 😃
246,힘내시구요 당신을 응원합니다~~♡♡
247,상민이형 형따라썼어요 전 괜찮아요 형이 제글에 댓글만 달아준다면..
248,걱정되는 마음에 오라버니한테 DM 보냈었는데 다행이네요 😭
249,끈기와 인내가 결국 해내셨군요. 축하드립니다 👏😍😂본받겠습니다!
250,오늘하루 파팅입니다!!😍😍
251,Fighting🔥💪
252,항상응원합니다 성실하게 일하시고 빛도다갚으시고 열씨미사시는모습 보며 팬됐어요 아픈딸 ㄱ
253,힘내세요!! 상민오빠도 피해자네요😱😭
254,아...헐? 비싼데도 이상민 믿고 사서 계속 쓰고있는지 몇년된거 같은데 젠장...
255,손바닥으로 하늘을 가리려 하지 마세요. 교묘하네. 이걸 몰랐다고 하시는건.
256,👏👏👏👏👏👏👏👏👏👏
257,상민이형 그래도 지금 해가 뜨고 있는 중이니까 힘내세요! 응원하고있어요!
258,감사합니다 형 보면서 열심히 살고 있습니다.
259,이런일도있고 저런일도있고 ....항상 응원합니다
260,아고.그나마 다행이네요💦💦
261,❤️❤️❤️❤️💪💪💪
262,미용쪽에 있는 사람은 저 샴푸 나오는것도 알았고 상민형님이 갑자기 저기 모델 하시길래 엥? 쓰시던 샴푸랑 다른거고 저 샴푸는 미용실에서 그냥 공장 하나 뚫어서 자기네 묭실 브랜드화 시키려는구나 라는걸 알수 있었는데 어떻게 보면 상민형님도 피해자이시니까 잘 마무리하고 밝게 나와 주십쇼!!
263,지니어스때부터 계속 응원하고있습니다 👍🏻
264,상민씨 인성 바른 건 다 아는 사실이잖아요
265,👏👏👏👏 응원합니다~~~!!!
266,정말이지 지뢰밭같은 앞뒤없이 까고보는 저질비판들이 난무하는 유튜브네요ㅠㅜ 이젠 그런거에 안휘둘리는 사람들 많아졌어요. 더 많아져야겠지만 ㅠ 힘내세요!!!
267,화이팅 하십시요!
268,넘 스트레스 받지마시고요 이상민씨 마음 편하신데로 하세요
269,@dcnpark 또라인가!?괜히 열심히 사는 사람한테 시비걸지말고 니 일이나 똑바로해라.ㅇ
270,@futurefitness_jw
271,I'm sorry. I don't understand a thing but what is it all about?
272,과대광고라는게 참 애매합니다. 저도 어헤즈 썻지만 ... 효과좋아요!! 다만 그걸 너무 더 크게 과대해서 문제가생긴거죠. 저는 잘썻어요~~ 또 사고싶엇는데 핫딜이안떠서 못삿어요. 😭 핫딜때만구매햇던지라 ㅎ
273,상민형 힘내요 👍👍
274,❤️❤️❤️❤️
275,💖힘내세요 상민이💖 응원합니다!!
276,힘내세요..
277,라방(라이브 방송)도 해주세용!!😆
278,앗싸 앗싸~~!! 응원합니다~~~!!!
279,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
